LTspice 24.0.9 for Windows
Circuit: Ciruito Mallas
Start Time: Thu Jun 27 15:35:52 2024
solver = Normal
Maximum thread count: 12



Direct Newton iteration for .op point succeeded.
.step param_r2=1000 param_r1=1000



.step param_r2=4000 param_r1=1000



.step param_r2=7000 param_r1=1000



.step param_r2=10000 param_r1=1000



.step param_r2=13000 param_r1=1000



.step param_r2=16000 param_r1=1000



.step param_r2=19000 param_r1=1000



.step param_r2=20000 param_r1=1000



.step param_r2=1000 param_r1=4000



.step param_r2=4000 param_r1=4000



.step param_r2=7000 param_r1=4000



.step param_r2=10000 param_r1=4000



.step param_r2=13000 param_r1=4000



.step param_r2=16000 param_r1=4000



.step param_r2=19000 param_r1=4000



.step param_r2=20000 param_r1=4000



.step param_r2=1000 param_r1=7000



.step param_r2=4000 param_r1=7000



.step param_r2=7000 param_r1=7000



.step param_r2=10000 param_r1=7000



.step param_r2=13000 param_r1=7000



.step param_r2=16000 param_r1=7000



.step param_r2=19000 param_r1=7000



.step param_r2=20000 param_r1=7000



.step param_r2=1000 param_r1=10000



.step param_r2=4000 param_r1=10000



.step param_r2=7000 param_r1=10000



.step param_r2=10000 param_r1=10000



.step param_r2=13000 param_r1=10000



.step param_r2=16000 param_r1=10000



.step param_r2=19000 param_r1=10000



.step param_r2=20000 param_r1=10000



.step param_r2=1000 param_r1=13000



.step param_r2=4000 param_r1=13000



.step param_r2=7000 param_r1=13000



.step param_r2=10000 param_r1=13000



.step param_r2=13000 param_r1=13000



.step param_r2=16000 param_r1=13000



.step param_r2=19000 param_r1=13000



.step param_r2=20000 param_r1=13000



.step param_r2=1000 param_r1=16000



.step param_r2=4000 param_r1=16000



.step param_r2=7000 param_r1=16000



.step param_r2=10000 param_r1=16000



.step param_r2=13000 param_r1=16000



.step param_r2=16000 param_r1=16000



.step param_r2=19000 param_r1=16000



.step param_r2=20000 param_r1=16000



.step param_r2=1000 param_r1=19000



.step param_r2=4000 param_r1=19000



.step param_r2=7000 param_r1=19000



.step param_r2=10000 param_r1=19000



.step param_r2=13000 param_r1=19000



.step param_r2=16000 param_r1=19000



.step param_r2=19000 param_r1=19000



.step param_r2=20000 param_r1=19000



.step param_r2=1000 param_r1=20000



.step param_r2=4000 param_r1=20000



.step param_r2=7000 param_r1=20000



.step param_r2=10000 param_r1=20000



.step param_r2=13000 param_r1=20000



.step param_r2=16000 param_r1=20000



.step param_r2=19000 param_r1=20000
tnom = 27
temp = 27
method = modified trap
.step param_r2=20000 param_r1=20000
Total elapsed time: 1.105 seconds.

